timestamp_s,x,y,polarity
0.396347000,159,116,1
0.396348000,157,100,-1
0.396348000,162,111,-1
0.396350000,207,74,1
0.396350000,212,85,1
0.396351000,211,82,1
0.396351000,78,142,1
0.396353000,175,67,1
0.396353000,195,71,1
0.396353000,207,76,1
0.396353000,212,84,1
0.396354000,171,119,-1
0.396354000,171,159,1
0.396354000,100,162,-1
0.396354000,119,181,-1
0.396356000,204,72,1
0.396356000,209,76,1
0.396360000,104,169,-1
0.396362000,204,77,1
0.396363000,158,84,-1
0.396364000,125,109,1
0.396364000,121,182,-1
0.396365000,202,77,-1
0.396369000,203,72,1
0.396369000,206,74,1
0.396369000,211,102,-1
0.396369000,102,166,-1
0.396370000,97,153,-1
0.396372000,175,118,-1
0.396373000,214,95,1
0.396373000,165,111,-1
0.396373000,113,180,-1
0.396377000,173,151,1
0.396378000,172,119,-1
0.396378000,173,150,1
0.396379000,185,65,1
0.396379000,207,78,1
0.396379000,124,183,-1
0.396380000,164,121,1
0.396381000,127,104,-1
0.396381000,141,184,-1
0.396383000,160,108,-1
0.396383000,156,114,1
0.396384000,139,108,1
0.396385000,162,107,1
0.396387000,172,156,1
0.396389000,206,78,-1
0.396391000,172,117,1
0.396392000,195,121,-1
0.396396000,101,164,-1
0.396398000,99,160,-1
0.396403000,171,70,1
0.396404000,97,140,-1
0.396405000,213,87,1
0.396406000,159,106,-1
0.396406000,105,122,-1
0.396407000,214,94,1
0.396407000,215,95,1
0.396409000,207,75,1
0.396412000,211,84,-1
0.396413000,208,110,1
0.396413000,168,117,-1
0.396413000,105,170,-1
0.396415000,162,109,1
0.396418000,201,72,1
0.396419000,101,128,-1
0.396420000,97,152,-1
0.396422000,140,108,1
0.396423000,175,121,-1
0.396424000,212,86,-1
0.396426000,112,177,-1
0.396428000,209,110,1
0.396429000,111,176,-1
0.396431000,167,116,-1
0.396431000,161,118,1
0.396434000,231,76,1
0.396434000,157,89,-1
0.396434000,208,105,-1
0.396434000,173,120,-1
0.396438000,128,185,-1
0.396439000,115,179,-1
0.396440000,214,98,1
0.396442000,161,108,-1
0.396446000,153,180,-1
0.396448000,98,157,-1
0.396449000,160,117,1
0.396449000,64,192,1
0.396450000,165,122,1
0.396451000,172,136,1
0.396451000,129,184,-1
0.396452000,204,79,1
0.396453000,158,104,-1
0.396455000,204,74,1
0.396455000,203,77,-1
0.396457000,100,130,-1
0.396459000,169,112,-1
0.396459000,167,125,1
0.396460000,198,68,1
0.396461000,157,88,-1
0.396461000,151,181,-1
0.396462000,240,90,1
0.396462000,104,169,-1
0.396463000,173,141,1
0.396464000,171,133,1
0.396466000,209,109,-1
0.396467000,132,188,1
0.396472000,173,142,1
0.396472000,117,181,-1
0.396474000,175,69,1
0.396474000,209,78,1
0.396474000,158,86,1
0.396474000,97,153,-1
0.396474000,171,159,1
0.396476000,162,105,-1
0.396480000,195,120,-1
0.396481000,121,182,-1
0.396483000,97,135,-1
0.396486000,247,89,1
0.396486000,76,140,1
0.396488000,210,83,-1
0.396489000,202,72,-1
0.396490000,212,104,1
0.396495000,205,73,1
0.396496000,171,115,-1
0.396499000,145,109,1
0.396499000,162,111,-1
0.396500000,203,70,1
0.396501000,193,67,-1
0.396501000,119,181,-1
0.396501000,141,184,-1
0.396505000,233,63,1
0.396506000,139,185,-1
0.396508000,211,106,-1
0.396509000,128,184,-1
0.396511000,101,164,-1
0.396513000,130,108,1
0.396513000,124,183,-1
0.396514000,178,66,1
0.396514000,169,71,1
0.396515000,117,180,-1
0.396517000,56,120,1
0.396519000,192,66,1
0.396520000,105,170,-1
0.396521000,201,73,-1
0.396522000,201,70,1
0.396522000,158,100,-1
0.396523000,206,74,1
0.396524000,208,104,1
0.396524000,100,162,-1
0.396526000,163,120,1
0.396526000,116,180,-1
0.396527000,171,118,-1
0.396528000,163,111,-1
0.396528000,171,119,-1
0.396528000,105,122,-1
0.396532000,208,92,1
0.396532000,112,177,-1
0.396533000,101,128,-1
0.396534000,125,109,1
0.396534000,193,120,-1
0.396534000,172,156,1
0.396534000,166,169,-1
0.396535000,158,84,-1
0.396535000,69,173,1
0.396539000,212,84,1
0.396539000,214,94,1
0.396539000,97,152,-1
0.396541000,148,110,1
0.396545000,211,81,1
0.396545000,214,93,1
0.396547000,173,151,1
0.396548000,180,122,-1
0.396552000,173,150,1
0.396553000,202,78,-1
0.396553000,209,101,-1
0.396553000,159,116,1
0.396554000,183,69,-1
0.396554000,175,121,-1
0.396555000,213,101,1
0.396555000,102,166,-1
0.396556000,202,76,-1
0.396557000,203,78,1
0.396557000,213,87,1
0.396557000,157,100,-1
0.396557000,208,101,1
0.396558000,170,141,1
0.396558000,129,184,-1
0.396560000,158,94,-1
0.396560000,98,157,-1
0.396561000,166,111,1
0.396562000,162,119,1
0.396565000,104,169,-1
0.396566000,160,108,-1
0.396566000,168,117,-1
0.396568000,195,67,1
0.396571000,214,95,1
0.396571000,139,108,1
0.396573000,97,140,-1
0.396574000,161,105,1
0.396574000,128,189,-1
0.396575000,212,85,1
0.396575000,179,122,-1
0.396578000,175,67,1
0.396579000,97,153,-1
0.396582000,153,180,-1
0.396585000,136,185,-1
0.396587000,68,175,1
0.396589000,151,181,-1
0.396591000,204,72,1
0.396591000,159,106,-1
0.396593000,197,68,1
0.396593000,173,120,-1
0.396594000,171,159,1
0.396595000,99,160,-1
0.396597000,194,120,1
0.396597000,111,176,-1
0.396598000,195,121,-1
0.396599000,121,182,-1
0.396602000,185,65,1
0.396605000,209,110,1
0.396606000,156,114,1
0.396607000,164,121,1
0.396609000,177,70,-1
0.396609000,207,77,-1
0.396609000,140,108,1
0.396610000,149,182,-1
0.396612000,196,68,-1
0.396614000,173,141,1
0.396615000,157,88,-1
0.396616000,164,113,-1
0.396618000,115,179,-1
0.396621000,141,184,-1
0.396622000,160,117,1
0.396623000,211,83,-1
0.396624000,173,142,1
0.396626000,101,164,-1
0.396627000,209,81,-1
0.396627000,105,170,-1
0.396628000,171,133,1
0.396631000,165,122,1
0.396636000,205,76,1
0.396636000,96,131,-1
0.396637000,185,71,-1
0.396637000,159,83,1
0.396637000,101,165,-1
0.396638000,158,104,-1
0.396638000,112,177,-1
0.396639000,165,111,-1
0.396639000,172,112,-1
0.396639000,97,156,1
0.396640000,170,70,-1
0.396640000,172,70,-1
0.396640000,206,78,-1
0.396643000,174,122,1
0.396645000,168,116,-1
0.396647000,101,128,-1
0.396647000,119,181,-1
0.396647000,124,183,-1
0.396648000,205,78,1
0.396648000,100,130,-1
0.396649000,162,111,-1
0.396650000,105,122,-1
0.396651000,161,118,1
0.396652000,209,82,1
0.396652000,157,182,1
0.396653000,207,75,1
0.396656000,167,125,1
0.396657000,174,120,1
0.396657000,172,136,1
0.396657000,97,152,-1
0.396660000,198,68,1
0.396660000,208,85,-1
0.396664000,172,118,-1
0.396664000,97,154,-1
0.396665000,101,161,1
0.396666000,129,184,-1
0.396668000,185,68,1
0.396668000,104,169,-1
0.396669000,212,86,-1
0.396669000,140,186,-1
0.396670000,214,94,1
0.396671000,98,157,-1
0.396671000,119,182,-1
0.396672000,174,69,-1
0.396673000,192,71,1
0.396673000,210,86,-1
0.396676000,203,72,1
0.396677000,206,74,1
0.396678000,177,66,1
0.396678000,173,71,1
0.396678000,201,77,-1
0.396680000,135,188,-1
0.396681000,172,156,1
0.396682000,194,67,1
0.396684000,97,153,-1
0.396686000,209,78,1
0.396686000,175,121,-1
0.396686000,128,184,-1
0.396687000,109,175,-1
0.396692000,194,71,-1
0.396692000,206,75,1
0.396693000,205,73,1
0.396694000,210,103,-1
0.396695000,100,162,-1
0.396697000,192,66,1
0.396697000,161,108,-1
0.396698000,158,103,-1
0.396701000,213,102,1
0.396701000,171,119,-1
0.396701000,117,180,-1
0.396702000,182,122,1
0.396704000,125,109,1
0.396704000,158,110,1
0.396704000,151,182,-1
0.396707000,158,84,-1
0.396709000,213,87,1
0.396710000,145,109,1
0.396714000,171,159,1
0.396715000,157,99,-1
0.396715000,212,104,1
0.396715000,137,190,1
0.396716000,121,182,-1
0.396717000,173,151,1
0.396717000,153,180,-1
0.396717000,151,181,-1
0.396718000,170,117,1
0.396719000,168,117,-1
0.396720000,130,108,1
0.396724000,104,170,-1
0.396725000,212,84,1
0.396727000,173,150,1
0.396727000,110,176,-1
0.396729000,157,101,-1
0.396732000,201,70,1
0.396734000,229,78,1
0.396734000,105,170,-1
0.396736000,211,95,-1
0.396736000,249,99,1
0.396737000,114,182,-1
0.396738000,207,76,1
0.396740000,102,166,-1
0.396740000,69,175,1
0.396740000,141,184,-1
0.396741000,97,140,-1
0.396741000,101,164,-1
0.396743000,202,75,1
0.396743000,168,141,1
0.396744000,112,177,-1
0.396748000,148,110,1
0.396748000,97,158,-1
0.396749000,211,81,1
0.396749000,160,108,-1
0.396751000,211,82,1
0.396752000,173,120,-1
0.396753000,163,120,1
0.396755000,64,169,1
0.396755000,139,188,-1
0.396756000,206,77,1
0.396756000,208,108,-1
0.396757000,214,93,1
0.396757000,162,104,1
0.396757000,175,163,-1
0.396758000,139,108,1
0.396759000,159,116,1
0.396760000,174,68,1
0.396761000,101,128,-1
0.396761000,141,185,-1
0.396763000,209,83,1
0.396763000,195,120,-1
0.396764000,185,67,-1
0.396764000,200,75,1
0.396764000,111,176,-1
0.396765000,173,141,1
0.396767000,159,82,-1
0.396767000,157,100,-1
0.396768000,207,50,1
0.396769000,157,88,-1
0.396769000,214,95,1
0.396770000,178,122,-1
0.396770000,104,169,-1
0.396771000,105,122,-1
0.396772000,176,67,1
0.396772000,202,77,-1
0.396772000,210,78,1
0.396773000,129,184,-1
0.396774000,207,78,1
0.396774000,166,104,-1
0.396776000,209,85,1
0.396776000,159,106,-1
0.396776000,74,142,1
0.396776000,173,142,1
0.396776000,97,152,-1
0.396777000,183,67,-1
0.396777000,162,119,1
0.396779000,141,110,1
0.396780000,198,71,1
0.396781000,183,122,-1
0.396782000,181,71,1
0.396782000,158,85,-1
0.396782000,209,110,1
0.396782000,98,157,-1
0.396782000,124,183,-1
0.396784000,156,104,1
0.396786000,97,125,-1
0.396788000,142,109,1
0.396788000,97,153,-1
0.396791000,199,70,1
0.396791000,168,113,1
0.396792000,195,67,1
0.396792000,209,87,1
0.396792000,171,133,1
0.396792000,99,160,-1
0.396793000,119,181,-1
0.396794000,202,73,1
0.396794000,142,184,-1
0.396795000,160,117,1
0.396795000,172,117,1
0.396796000,208,98,1
0.396797000,140,108,1
0.396797000,115,179,-1
0.396799000,171,70,1
0.396799000,159,105,-1
0.396800000,213,72,1
0.396800000,212,85,1
0.396800000,162,111,-1
0.396800000,175,118,-1
0.396802000,214,94,1
0.396803000,175,67,1
0.396804000,195,121,-1
0.396805000,129,187,-1
0.396806000,132,186,-1
0.396808000,174,66,1
0.396808000,173,113,1
0.396809000,179,122,-1
0.396811000,211,101,-1
0.396812000,175,119,1
0.396812000,165,122,1
0.396813000,132,107,1
0.396814000,162,105,-1
0.396817000,175,121,-1
0.396819000,174,119,1
0.396823000,178,66,1
0.396823000,183,69,-1
0.396823000,158,104,-1
0.396823000,163,111,-1
0.396823000,167,116,-1
0.396825000,185,65,1
0.396826000,204,72,1
0.396826000,201,73,-1
0.396827000,193,67,-1
0.396827000,172,116,1
0.396827000,172,156,1
0.396828000,109,180,-1
0.396829000,213,101,1
0.396829000,156,114,1
0.396829000,119,183,1
0.396830000,206,74,1
0.396831000,186,71,1
0.396833000,164,121,1
0.396833000,121,182,-1
0.396834000,177,68,-1
0.396834000,100,129,-1
0.396834000,171,159,1
0.396834000,69,192,1
0.396838000,167,112,-1
0.396839000,122,106,1
0.396839000,174,115,1
0.396839000,100,130,-1
0.396839000,172,158,1
0.396840000,208,86,-1
0.396841000,105,170,-1
0.396842000,144,106,1
0.396846000,151,181,-1
0.396848000,168,115,1
0.396849000,139,186,-1
0.396850000,167,109,1
0.396850000,112,177,-1
0.396852000,202,74,-1
0.396852000,211,90,1
0.396852000,162,107,1
0.396852000,61,120,1
0.396852000,153,180,-1
0.396853000,167,125,1
0.396853000,100,165,-1
0.396855000,213,96,-1
0.396856000,195,70,-1
0.396856000,172,119,-1
0.396856000,101,164,-1
